"appid","name","developer","description","release_date","screenshot_url_1","screenshot_url_2","screenshot_url_3","screenshot_url_4","image_url","header_image_url","initial_price","final_price","discount_percent","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","is_vr","is_free","is_multiplayer","created","last_modified","url","alt_image_url"
"322500","SUPERHOT","SUPERHOT Team","SUPERHOT is the first person shooter where time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing weapons off fallen enemies to shoot, slice, and maneuver through a hurricane of slow-motion bullets.","2016-02-25","https://cdn.akamai.steamstatic.com/steam/apps/322500/ss_57d97f703754f546c1ca2f6b06de1db2245be4f1.600x338.jpg?t=1614017656","https://cdn.akamai.steamstatic.com/steam/apps/322500/ss_2bd988fa8395542a3f2ae125bd0dcacfab780d0c.600x338.jpg?t=1614017656","https://cdn.akamai.steamstatic.com/steam/apps/322500/ss_6230c8eeaf92f0a6e78dfdcd7b9a67a42fb9d9cf.600x338.jpg?t=1614017656","https://cdn.akamai.steamstatic.com/steam/apps/322500/ss_4a0fc6962982beffe22ece449a58bc2f84aa08c3.600x338.jpg?t=1614017656","https://steamcdn-a.akamaihd.net/steam/apps/322500/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/322500/capsule_616x353.jpg","2499","2499","0","Action","FPS","Bullet Time","Time Manipulation","Indie","First-Person","0","0",NULL,"2021-03-11 16:04:09","2021-03-11 17:40:36","https://store.steampowered.com/app/322500","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/daef884ea3a9751b7f2de19244903bd0.png"
"341800","Keep Talking and Nobody Explodes","Steel Crate Games","Find yourself trapped alone in a room with a ticking time bomb. Your friends have the manual to defuse it, but they can't see the bomb, so you're going to have to talk it out – fast!","2015-10-08","https://cdn.akamai.steamstatic.com/steam/apps/341800/ss_55f22f9996c327c281d241ed09d43c74337d7e30.600x338.jpg?t=1601911245","https://cdn.akamai.steamstatic.com/steam/apps/341800/ss_cfaf92410612fef91cde9fe27f3cdcbdcf5a1380.600x338.jpg?t=1601911245","https://cdn.akamai.steamstatic.com/steam/apps/341800/ss_11c9963bc5d93a2c31857c94760305208fc9b023.600x338.jpg?t=1601911245","https://cdn.akamai.steamstatic.com/steam/apps/341800/ss_4c429dd69d9682727f15b87549bbee6b7a11df77.600x338.jpg?t=1601911245","https://steamcdn-a.akamaihd.net/steam/apps/341800/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/341800/capsule_616x353.jpg","1499","1499","0","Co-op","Puzzle","Local Co-Op","Multiplayer","VR","Indie","0","0",NULL,"2021-03-11 16:04:12","2021-03-11 17:40:39","https://store.steampowered.com/app/341800","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/906de7407507c0dfe2861199e00c9bb1.png"
"1174180","Red Dead Redemption 2","Rockstar Games","Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","2019-12-05","https://cdn.akamai.steamstatic.com/steam/apps/1174180/ss_66b553f4c209476d3e4ce25fa4714002cc914c4f.600x338.jpg?t=1606935465","https://cdn.akamai.steamstatic.com/steam/apps/1174180/ss_bac60bacbf5da8945103648c08d27d5e202444ca.600x338.jpg?t=1606935465","https://cdn.akamai.steamstatic.com/steam/apps/1174180/ss_668dafe477743f8b50b818d5bbfcec669e9ba93e.600x338.jpg?t=1606935465","https://cdn.akamai.steamstatic.com/steam/apps/1174180/ss_4ce07ae360b166f0f650e9a895a3b4b7bf15e34f.600x338.jpg?t=1606935465","https://steamcdn-a.akamaihd.net/steam/apps/1174180/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_616x353.jpg","5999","5999","0","Adventure","Open World","Action","Western","Story Rich","Multiplayer","0","0",NULL,"2021-03-11 16:06:26","2021-03-11 17:40:41","https://store.steampowered.com/app/1174180","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/8a27d37cd175197e87c02a7fc7eb192d.png"
"346110","ARK: Survival Evolved","Studio Wildcard","Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","2017-08-27","https://cdn.akamai.steamstatic.com/steam/apps/346110/ss_2fd997a2f7151cb2187043a1f41589cc6a9ebf3a.600x338.jpg?t=1612827794","https://cdn.akamai.steamstatic.com/steam/apps/346110/ss_01cbef83fe28d64ee5a3d39a86043fb1e49abd31.600x338.jpg?t=1612827794","https://cdn.akamai.steamstatic.com/steam/apps/346110/ss_164a92a53f9bcbb728b391fc0719f9769c2e1249.600x338.jpg?t=1612827794","https://cdn.akamai.steamstatic.com/steam/apps/346110/ss_46778c08a1a5ac5bdbaf8a5bf844fa666f66a14b.600x338.jpg?t=1612827794","https://steamcdn-a.akamaihd.net/steam/apps/346110/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/346110/capsule_616x353.jpg","4999","4999","0","Open World Survival Craft","Survival","Open World","Multiplayer","Dinosaurs","Crafting","0","0",NULL,"2021-03-11 16:04:15","2021-03-11 17:40:44","https://store.steampowered.com/app/346110","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/5fdacd92600fcc2bc6fe136b85fd7ed6.png"
"359550","Tom Clancy's Rainbow Six® Siege","Ubisoft Montreal","Tom Clancy's Rainbow Six Siege is the latest installment of the acclaimed first-person shooter franchise developed by the renowned Ubisoft Montreal studio.","2015-12-01","https://cdn.akamai.steamstatic.com/steam/apps/359550/ss_79af6b4e7ea15b745c0c315e4ae8f7450bb64f58.600x338.jpg?t=1611615023","https://cdn.akamai.steamstatic.com/steam/apps/359550/ss_0d619a68898400c9cd59b1afa2e36bd50f12d0b5.600x338.jpg?t=1611615023","https://cdn.akamai.steamstatic.com/steam/apps/359550/ss_6d4e3b1021a489106f33c054bcb0e74ea4bd706f.600x338.jpg?t=1611615023","https://cdn.akamai.steamstatic.com/steam/apps/359550/ss_2f720e4694ba324ee6036a4ce8595a839de3f185.600x338.jpg?t=1611615023","https://steamcdn-a.akamaihd.net/steam/apps/359550/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/359550/capsule_616x353.jpg","1999","1999","0","FPS","Hero Shooter","Multiplayer","Tactical","Shooter","Team-Based","0","0",NULL,"2021-03-11 16:04:18","2021-03-11 17:40:50","https://store.steampowered.com/app/359550","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/6df0f11ac980d2c59e5b4dab6a8e7611.png"
"361420","ASTRONEER","System Era Softworks","A game of aerospace industry and interplanetary exploration.","2019-02-05","https://cdn.akamai.steamstatic.com/steam/apps/361420/ss_539bc5211ccdad2bc6cc70e4af40194d74eb0256.600x338.jpg?t=1608327289","https://cdn.akamai.steamstatic.com/steam/apps/361420/ss_858b8bece04b753a6b35a009776a4de9dd6e0df7.600x338.jpg?t=1608327289","https://cdn.akamai.steamstatic.com/steam/apps/361420/ss_cd719a15ce46e46b78837df49f705d4dd27a2b81.600x338.jpg?t=1608327289","https://cdn.akamai.steamstatic.com/steam/apps/361420/ss_436f3ea0934a6ecd3fdd2f260ef535d80b8c185d.600x338.jpg?t=1608327289","https://steamcdn-a.akamaihd.net/steam/apps/361420/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/361420/capsule_616x353.jpg","2999","2999","0","Open World Survival Craft","Open World","Multiplayer","Space","Survival","Exploration","0","0",NULL,"2021-03-11 16:04:21","2021-03-11 17:40:52","https://store.steampowered.com/app/361420","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/fd73d9e039609042b9532f83ea3e3ae5.png"
"1217060","Gunfire Reborn","Duoyi (Hong Kong) Interactive Entertainment Limited","Gunfire Reborn is an adventure level-based game featured with FPS, Roguelite and RPG. Players can control heros with various abilities to experience diverse Build gameplay, use randomly dropped weapons to explore random levels. This game can be played by single player, or Co-op up to four.","2020-05-22","https://cdn.akamai.steamstatic.com/steam/apps/1217060/ss_043b2aa42aa716792f0c6cc0f16c4020ade3e803.600x338.jpg?t=1612154728","https://cdn.akamai.steamstatic.com/steam/apps/1217060/ss_b489e3c646b594f7c1a066a4657cad1006468050.600x338.jpg?t=1612154728","https://cdn.akamai.steamstatic.com/steam/apps/1217060/ss_f2018a6b4525a0142e4a50776f7f06186881c185.600x338.jpg?t=1612154728","https://cdn.akamai.steamstatic.com/steam/apps/1217060/ss_dde431a7fbc9807ff72364327e349dc17bfeebd6.600x338.jpg?t=1612154728","https://steamcdn-a.akamaihd.net/steam/apps/1217060/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/1217060/capsule_616x353.jpg","1199","1199","0","FPS","Co-op","Roguelite","Multiplayer","Online Co-Op","Roguelike","0","0",NULL,"2021-03-11 16:06:31","2021-03-11 17:40:55","https://store.steampowered.com/app/1217060","img/undefined.jpg"
"381210","Dead by Daylight","Behaviour Interactive Inc.","Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.","2016-06-14","https://cdn.akamai.steamstatic.com/steam/apps/381210/ss_5d66c65ae32b7dd265c5eccf0f38ae3e21f54351.600x338.jpg?t=1611596474","https://cdn.akamai.steamstatic.com/steam/apps/381210/ss_8c5b75a9ee6c69f18eec714759e3e7b84aa906ed.600x338.jpg?t=1611596474","https://cdn.akamai.steamstatic.com/steam/apps/381210/ss_002a2dcb76e82db9878fcc8416daa279098426a4.600x338.jpg?t=1611596474","https://cdn.akamai.steamstatic.com/steam/apps/381210/ss_f703adba1cf8cdde1fbb2ec5d65b5eaadb3b866f.600x338.jpg?t=1611596474","https://steamcdn-a.akamaihd.net/steam/apps/381210/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_616x353.jpg","1999","1999","0","Horror","Survival Horror","Multiplayer","Online Co-Op","Survival","Stealth","0","0",NULL,"2021-03-11 16:04:24","2021-03-11 17:40:59","https://store.steampowered.com/app/381210","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/d98b70e14f543913d8d83e5f8d6114cd.png"
"570","Dota 2","Valve","Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","2013-07-09","https://cdn.akamai.steamstatic.com/steam/apps/570/ss_86d675fdc73ba10462abb8f5ece7791c5047072c.600x338.jpg?t=1612665823","https://cdn.akamai.steamstatic.com/steam/apps/570/ss_ad8eee787704745ccdecdfde3a5cd2733704898d.600x338.jpg?t=1612665823","https://cdn.akamai.steamstatic.com/steam/apps/570/ss_7ab506679d42bfc0c0e40639887176494e0466d9.600x338.jpg?t=1612665823","https://cdn.akamai.steamstatic.com/steam/apps/570/ss_c9118375a2400278590f29a3537769c986ef6e39.600x338.jpg?t=1612665823","https://steamcdn-a.akamaihd.net/steam/apps/570/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/570/capsule_616x353.jpg","-1","0","-1","Free to Play","MOBA","Multiplayer","Strategy","eSports","Team-Based","0","1",NULL,"2021-03-11 16:02:54","2021-03-11 17:41:02","https://store.steampowered.com/app/570","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/780641c3fe863255d94a0ac7a20976ed.webp"
"1282730","Loop Hero","Four Quarters","The Lich has thrown the world into a timeless loop and plunged its inhabitants into never ending chaos. Wield an expanding deck of mystical cards to place enemies, buildings, and terrain along each unique expedition loop for the brave hero.","2021-03-04","https://cdn.akamai.steamstatic.com/steam/apps/1282730/ss_500e7212653fa6586f7a84c89b4c60be4e425fbb.600x338.jpg?t=1615441717","https://cdn.akamai.steamstatic.com/steam/apps/1282730/ss_455789884ed94fd20410ac5a139e8c3bb8f6f369.600x338.jpg?t=1615441717","https://cdn.akamai.steamstatic.com/steam/apps/1282730/ss_d6cf090e7c644756cc66443c0740f5497e6afbba.600x338.jpg?t=1615441717","https://cdn.akamai.steamstatic.com/steam/apps/1282730/ss_6a416c70c8f1bc80c84a02a0627d2050061b0e39.600x338.jpg?t=1615441717","https://steamcdn-a.akamaihd.net/steam/apps/1282730/library_600x900_2x.jpg","https://cdn.akamai.steamstatic.com/steam/apps/1282730/capsule_616x353.jpg","1499","1274","15","RPG","Strategy","Card Game","Roguelike","Adventure","Experimental","0","0",NULL,"2021-03-11 16:06:34","2021-03-11 17:41:04","https://store.steampowered.com/app/1282730","https://cdn2.steamgriddb.com/file/sgdb-cdn/grid/4e96157c3c8c24f4761a7bc4411a2504.jpg"
